NAZWA;ID;VOIVOD;1.09;14.09;30.09
powiat aleksandrowski;201;kujawsko-pomorskie;57;94;213
powiat brodnicki;202;kujawsko-pomorskie;45;52;73
powiat bydgoski i Bydgoszcz;203;kujawsko-pomorskie;336;366;501
powiat chełmiński;204;kujawsko-pomorskie;84;87;96
powiat golubsko-dobrzyński;205;kujawsko-pomorskie;10;11;16
powiat grudziądzki i Grudziądz;206;kujawsko-pomorskie;65;88;138
powiat inowrocławski;207;kujawsko-pomorskie;53;71;142
powiat lipnowski;208;kujawsko-pomorskie;50;55;93
powiat mogileński;209;kujawsko-pomorskie;16;16;21
powiat nakielski;210;kujawsko-pomorskie;40;43;68
powiat radziejowski;211;kujawsko-pomorskie;44;46;58
powiat rypiński;212;kujawsko-pomorskie;20;20;49
powiat sępoleński;213;kujawsko-pomorskie;28;32;35
powiat świecki;214;kujawsko-pomorskie;41;49;63
powiat toruński i Toruń;215;kujawsko-pomorskie;349;388;556
powiat tucholski;216;kujawsko-pomorskie;4;17;30
powiat wąbrzeski;217;kujawsko-pomorskie;18;22;27
powiat włocławski i Włocławek;218;kujawsko-pomorskie;75;138;293
powiat żniński;219;kujawsko-pomorskie;28;31;175
powiat bytowski;1101;pomorskie;26;117;228
powiat chojnicki;1102;pomorskie;22;28;92
powiat człuchowski;1103;pomorskie;10;10;13
powiat gdański i Gdańsk;1104;pomorskie;852;1013;1424
Gdynia i Sopot;1105;pomorskie;309;387;630
powiat kartuski;1106;pomorskie;211;259;572
powiat kościerski;1107;pomorskie;46;70;148
powiat kwidzyński;1108;pomorskie;26;34;53
powiat lęborski;1109;pomorskie;35;36;51
powiat malborski;1110;pomorskie;94;96;113
powiat nowodworski;1111;pomorskie;20;22;49
powiat pucki;1112;pomorskie;145;169;250
powiat słupski i Słupsk;1113;pomorskie;108;119;287
powiat starogardzki;1114;pomorskie;188;204;247
powiat sztumski;1115;pomorskie;52;54;56
powiat tczewski;1116;pomorskie;105;125;173
powiat wejherowski;1117;pomorskie;329;384;564
powiat bartoszycki;1401;warmińsko-mazurskie;77;79;127
powiat braniewski;1402;warmińsko-mazurskie;16;16;27
powiat działdowski;1403;warmińsko-mazurskie;61;71;192
powiat elbląski i Elbląg;1404;warmińsko-mazurskie;92;104;114
powiat ełcki;1405;warmińsko-mazurskie;75;81;82
powiat giżycki;1406;warmińsko-mazurskie;35;40;51
powiat gołdapski;1407;warmińsko-mazurskie;0;6;6
powiat iławski;1408;warmińsko-mazurskie;94;130;199
powiat kętrzyński;1409;warmińsko-mazurskie;26;29;37
powiat lidzbarski;1410;warmińsko-mazurskie;6;8;9
powiat mrągowski;1411;warmińsko-mazurskie;14;15;21
powiat nidzicki;1412;warmińsko-mazurskie;13;14;57
powiat nowomiejski;1413;warmińsko-mazurskie;42;53;70
powiat olecki;1414;warmińsko-mazurskie;3;3;3
powiat olsztyński i Olsztyn;1415;warmińsko-mazurskie;188;246;348
powiat ostródzki;1416;warmińsko-mazurskie;65;76;174
powiat piski;1417;warmińsko-mazurskie;42;42;48
powiat szczycieński;1418;warmińsko-mazurskie;46;57;71
powiat węgorzewski;1419;warmińsko-mazurskie;7;7;7
